Timesteps,Accuracy
0,50.0
1,86.90851735015774
2,65.61514195583597
3,89.27444794952682
4,71.92429022082018
5,90.85173501577287
6,90.85173501577287
7,92.74447949526814
8,90.06309148264984
9,91.6403785488959
10,92.58675078864354
11,92.11356466876973
12,92.74447949526814
13,92.27129337539432
14,92.90220820189275
15,92.27129337539432
16,93.21766561514195
17,91.9558359621451
18,93.69085173501577
19,92.74447949526814
20,93.69085173501577
21,92.74447949526814
22,93.53312302839116
23,91.00946372239747
24,93.53312302839116
