Timesteps,Accuracy
0,50.0
1,87.53943217665615
2,64.1955835962145
3,90.06309148264984
4,70.18927444794953
5,90.37854889589906
6,90.69400630914826
7,91.6403785488959
8,91.32492113564669
9,91.32492113564669
10,92.42902208201893
11,92.27129337539432
12,92.42902208201893
13,91.48264984227129
14,92.58675078864354
15,91.48264984227129
16,93.69085173501577
17,91.32492113564669
18,93.05993690851734
19,92.11356466876973
20,93.37539432176656
21,92.11356466876973
22,92.90220820189275
23,92.27129337539432
24,91.32492113564669
