Timesteps,Accuracy
0,55.20504731861199
1,66.40378548895899
2,66.40378548895899
3,72.71293375394322
4,72.55520504731862
5,75.55205047318611
6,76.81388012618297
7,79.96845425867508
8,81.70347003154575
9,81.07255520504731
10,82.01892744479495
11,84.06940063091483
12,84.22712933753942
13,85.64668769716089
14,87.06624605678233
15,88.17034700315457
16,88.17034700315457
17,90.22082018927445
18,90.22082018927445
19,90.85173501577287
20,91.32492113564669
21,91.6403785488959
22,91.9558359621451
23,91.9558359621451
24,91.7981072555205
