Timesteps,Accuracy
0,56.46687697160884
1,66.40378548895899
2,67.98107255520505
3,73.34384858044164
4,72.55520504731862
5,78.07570977917982
6,76.81388012618297
7,80.91482649842271
8,79.02208201892745
9,81.54574132492114
10,80.7570977917981
11,85.17350157728707
12,85.01577287066246
13,86.2776025236593
14,86.1198738170347
15,88.4858044164038
16,88.4858044164038
17,90.69400630914826
18,90.22082018927445
19,92.11356466876973
20,90.69400630914826
21,92.74447949526814
22,91.7981072555205
23,92.42902208201893
24,91.9558359621451
