Timesteps,Accuracy
0,55.047318611987386
1,63.8801261829653
2,64.03785488958991
3,71.45110410094637
4,68.45425867507886
5,73.34384858044164
6,72.2397476340694
7,76.49842271293376
8,76.49842271293376
9,79.96845425867508
10,79.49526813880126
11,83.75394321766562
12,82.17665615141956
13,84.54258675078864
14,84.22712933753942
15,87.53943217665615
16,86.43533123028391
17,88.32807570977917
18,87.06624605678233
19,89.74763406940063
20,88.95899053627761
21,90.06309148264984
22,89.90536277602523
23,90.53627760252367
24,90.22082018927445
