Timesteps,Accuracy
0,50.0
1,61.82965299684543
2,61.82965299684543
3,69.4006309148265
4,71.92429022082018
5,75.86750788643532
6,89.74763406940063
7,83.91167192429022
8,89.90536277602523
9,90.85173501577287
10,93.21766561514195
11,92.90220820189275
12,92.90220820189275
13,93.37539432176656
14,92.74447949526814
15,91.6403785488959
16,94.1640378548896
17,91.7981072555205
18,94.4794952681388
19,94.00630914826499
20,93.05993690851734
21,92.58675078864354
22,92.58675078864354
23,94.00630914826499
24,90.85173501577287
