Timesteps,Accuracy
0,56.46687697160884
1,66.40378548895899
2,66.5615141955836
3,72.39747634069401
4,70.97791798107255
5,77.12933753943217
6,75.70977917981072
7,79.02208201892745
8,77.60252365930599
9,81.07255520504731
10,80.28391167192429
11,83.91167192429022
12,83.1230283911672
13,85.17350157728707
14,84.85804416403786
15,87.69716088328076
16,86.59305993690852
17,90.37854889589906
18,88.64353312302839
19,91.00946372239747
20,89.43217665615141
21,91.9558359621451
22,90.85173501577287
23,92.11356466876973
24,90.69400630914826
