Timesteps,Accuracy
0,55.3030303030303
1,66.66666666666666
2,55.3030303030303
3,73.48484848484848
4,69.6969696969697
5,82.57575757575758
6,82.57575757575758
7,87.12121212121212
8,87.12121212121212
9,92.42424242424242
10,90.15151515151516
11,89.39393939393939
12,88.63636363636364
13,87.87878787878788
14,84.84848484848484
15,84.0909090909091
16,86.36363636363636
17,85.60606060606061
18,85.60606060606061
19,85.60606060606061
20,85.60606060606061
21,85.60606060606061
22,84.84848484848484
23,85.60606060606061
24,85.60606060606061
