Timesteps,Accuracy
0,55.3030303030303
1,68.93939393939394
2,61.36363636363637
3,70.45454545454545
4,73.48484848484848
5,71.21212121212122
6,76.51515151515152
7,78.03030303030303
8,83.33333333333334
9,84.0909090909091
10,90.9090909090909
11,91.66666666666666
12,90.15151515151516
13,90.15151515151516
14,90.15151515151516
15,87.87878787878788
16,87.12121212121212
17,87.12121212121212
18,87.12121212121212
19,87.12121212121212
20,86.36363636363636
21,86.36363636363636
22,87.12121212121212
23,87.12121212121212
24,85.60606060606061
