Timesteps,Accuracy
0,55.3030303030303
1,50.75757575757576
2,56.81818181818182
3,62.121212121212125
4,59.84848484848485
5,62.878787878787875
6,62.878787878787875
7,62.878787878787875
8,60.60606060606061
9,65.15151515151516
10,70.45454545454545
11,71.96969696969697
12,75.0
13,75.75757575757575
14,72.72727272727273
15,71.96969696969697
16,75.75757575757575
17,71.96969696969697
18,77.27272727272727
19,73.48484848484848
20,74.24242424242425
21,77.27272727272727
22,77.27272727272727
23,79.54545454545455
24,79.54545454545455
