Timesteps,Accuracy
0,55.3030303030303
1,66.66666666666666
2,65.9090909090909
3,68.93939393939394
4,81.06060606060606
5,78.03030303030303
6,87.87878787878788
7,86.36363636363636
8,88.63636363636364
9,90.15151515151516
10,90.15151515151516
11,88.63636363636364
12,89.39393939393939
13,89.39393939393939
14,88.63636363636364
15,88.63636363636364
16,86.36363636363636
17,89.39393939393939
18,87.12121212121212
19,84.84848484848484
20,87.12121212121212
21,86.36363636363636
22,87.12121212121212
23,88.63636363636364
24,87.87878787878788
