Timesteps,Accuracy
0,55.3030303030303
1,62.121212121212125
2,59.84848484848485
3,62.121212121212125
4,64.39393939393939
5,66.66666666666666
6,71.21212121212122
7,70.45454545454545
8,72.72727272727273
9,71.96969696969697
10,78.03030303030303
11,78.78787878787878
12,80.3030303030303
13,84.0909090909091
14,84.0909090909091
15,82.57575757575758
16,84.84848484848484
17,84.0909090909091
18,81.81818181818183
19,84.84848484848484
20,84.84848484848484
21,84.0909090909091
22,84.84848484848484
23,84.84848484848484
24,84.0909090909091
