Timesteps,Accuracy
0,57.57575757575758
1,59.84848484848485
2,60.60606060606061
3,62.878787878787875
4,62.878787878787875
5,64.39393939393939
6,65.9090909090909
7,68.18181818181817
8,69.6969696969697
9,71.96969696969697
10,73.48484848484848
11,78.03030303030303
12,78.03030303030303
13,81.81818181818183
14,82.57575757575758
15,83.33333333333334
16,84.0909090909091
17,84.84848484848484
18,85.60606060606061
19,85.60606060606061
20,85.60606060606061
21,85.60606060606061
22,85.60606060606061
23,85.60606060606061
24,85.60606060606061
