Timesteps,Accuracy
0,50.0
1,61.67192429022082
2,61.67192429022082
3,67.66561514195584
4,70.18927444794953
5,75.0788643533123
6,79.17981072555204
7,83.91167192429022
8,90.06309148264984
9,90.85173501577287
10,91.48264984227129
11,92.74447949526814
12,92.58675078864354
13,92.74447949526814
14,93.05993690851734
15,93.05993690851734
16,93.21766561514195
17,93.37539432176656
18,93.53312302839116
19,93.37539432176656
20,93.05993690851734
21,92.11356466876973
22,92.90220820189275
23,92.11356466876973
24,91.7981072555205
