Timesteps,Accuracy
0,50.0
1,87.53943217665615
2,62.77602523659306
3,90.06309148264984
4,70.82018927444796
5,90.37854889589906
6,79.49526813880126
7,91.00946372239747
8,90.22082018927445
9,91.32492113564669
10,92.90220820189275
11,91.32492113564669
12,92.58675078864354
13,92.11356466876973
14,91.48264984227129
15,92.74447949526814
16,91.9558359621451
17,91.9558359621451
18,93.05993690851734
19,91.6403785488959
20,92.58675078864354
21,93.21766561514195
22,91.9558359621451
23,94.1640378548896
24,91.6403785488959
