Timesteps,Accuracy
0,55.3030303030303
1,66.66666666666666
2,55.3030303030303
3,73.48484848484848
4,68.93939393939394
5,82.57575757575758
6,82.57575757575758
7,85.60606060606061
8,89.39393939393939
9,93.93939393939394
10,89.39393939393939
11,91.66666666666666
12,92.42424242424242
13,90.15151515151516
14,88.63636363636364
15,87.87878787878788
16,87.87878787878788
17,86.36363636363636
18,84.84848484848484
19,86.36363636363636
20,84.84848484848484
21,84.84848484848484
22,83.33333333333334
23,84.0909090909091
24,83.33333333333334
