Timesteps,Accuracy
0,50.0
1,57.88643533123028
2,57.88643533123028
3,57.88643533123028
4,58.2018927444795
5,57.88643533123028
6,59.93690851735016
7,61.82965299684543
8,60.41009463722398
9,63.722397476340696
10,63.24921135646687
11,65.77287066246058
12,67.82334384858044
13,68.76971608832808
14,71.92429022082018
15,73.18611987381703
16,76.34069400630915
17,79.49526813880126
18,82.96529968454259
19,85.8044164037855
20,85.8044164037855
21,85.8044164037855
22,88.95899053627761
23,91.16719242902208
24,91.00946372239747
